id,query,label
141,دیجی کالا چند سال افتتاح شده,5
142,وبسایت کتابخونه چه آدرسیه,1
143,دستگیره اتاق خیلی سخت باز می شود,2
144,اتاق جلسات کجا,2
145,چطور اینجا برم میدون ونک,2
146,درخواست افزایش سنوات باید کجا بدهیم,2
147,این ترم تابستون درس تخصصی ارائه میشه,1
148,تاریخ تاسیس دانشگاه,2
149,حداکثر حجم اینترنت یک ماه چقدر,3
150,فعال شدن اتشفشان کوه دماوند,1
151,سیلاب در جنوب ایران خسارت وارد کرد,5
152,دانشگاه روز جمعه باز,2
153,چه شرکت هایی برای مدرسه تکمیلی در دانشکده درس ارائه می دهند,1
154,چگونه برنامه ی امتحان ببینم,1
155,چطوری توی رشته مهندسی کامپیوتر موفق بشم,1
156,فلان استاد کلاس ضبط نمیکند,4
157,خود اساتید هم نظرسنجی نشان میدهید,4
158,برنامه تحصیلی دانشگاه تهران چگونه,5
159,کلاس کجا,1
160,مسئول تیم ACM دانشکده کیه,2
161,میتوانم کتاب نیاورم,3
162,مدرسه تکمیلی جزو واحد اختیاری,1
163,سایت می شود غذا خورد,3
164,روزای تعطیل دانشکده بازه,2
165,در صورت فراموشی رمز عبور در سامانه گلستان چه باید کرد,1
166,توزیع bsd رو باید نت بگیرم یا یه سروری دانشکده راتش,3
167,بوفه ی حقوق کجا,2
168,چند واحد می تونم بردارم,1
169,کاش انتخاب واحد دانشجویی که واحد کمتری داره رو برای اخذ یک درس اولویت بده,1
170,تعداد واحد عملی که در ترم تابستان می توان اخذ کرد,1
171,بوفه کجا,2
172,امروز چندم ماه,5
173,بعضی اساتید بسیار مغرضانه عمل می کنند,4
174,در ایام امتحانات تعداد تمارین و پروژه کمتر کنید,4
175,حداکثر چقدر میشه یه کتابی قرض بگیریم,3
176,آیا پس حذف اخذ دوباره درس پولی میشود,1
177,چرا درسهای عمومی مسخررو باید پاس کنیم,1
178,در صورت الف شدن معدل چه اتفاقی میافتد,1
179,در حذف اضطراری چند درس حداکثر میتوان حذف کرد,1
180,تاریخ امروز,1
181,قیمت ماشین چه خبر,5
182,بسیاری دروس دانشگاه صورت کاربردی ارائه نمیشوند,4
183,ممکن شرایط برگزاری امتحان در سامانه قرار دهید,1
184,چه ساعاتی می توانم سالن مطالعه استفاده کنم,3
185,واحدام حد نصاب نرسیده باید کار کنم,1
186,لیست دروس برای فراغت تحصیل رو کجا می تونم ببینم,1
187,سطح امتحان فلان استاد سطح تدریسش خیلی بالاتره,4
188,مبلغ جریمه ی دیرکرد برگرداندن کتابها چه قدر,3
189,شرایط موندن فضای مطالعه چجوریاست,1
190,سرویس بهداشتی نظافت مناسبی ندارد,2
191,چگونه برنامه نویس شوم,5
192,سالن ورزشی کجا,2
193,آموزش برق کجا,2
194,کلاس کجا,1
195,توزیع نامناسب نمره توسط برخی اساتید و افزایش فشار دانشجویان,4
196,دانشجو درک نمی شود,4
197,رمز عبورسایت فراموش کرده,1
198,چگونه می توانم لیست کتاب موجود دسترسی داشته باشم,3
199,مهمان چند روز امکان ماندن در خوابگاه دارند,5
200,در دانشکده محیطی برای بازی قرار دهید,4
201,مهارت مورد نیاز یک توسعه دهنده ی بک اند چیست,1
202,چرا اینقدر سرعت اینترنت دانشکده پایین,5
203,آیا می توان استاد راهنما عوض کرد,1
204,هوا فردا چجوریه,5
205,پیش نیاز درس هوش مصنوعی,1
206,برای ثبت نام باید کجا برم,1
207,آیا امکان برداشتن درس دانشکده برق وجود دارد,1
208,حذف و اضافه ورودی همن,1
209,پایان کلاس کی,1
210,این کتابخونه کتابخونه مرکزی در ارتباط,3
211,نظرسنجی اساتید کی شروع می شود,1
212,سلف چه ساعتی چه ساعتی باز,2
213,چرا امکان انتقاد سیستم حکومتی فراهم نیست,5
214,دروس این ترم کجا نشون میده,1
215,دانشکده واقعا نیاز بوفه داره,4
216,اوبونتو ام کرش میکند چه کنم,1
217,دفتر دکتر عطار,2
218,نمازخانه یاز,3
219,آیا کامپیوتری سیستم لینوکس,3
220,شورای صنفی نباید منحل میشد,4
221,سیستم عامل کامپیوتر سایت,3
222,آخرین مهلت نظرسنجی اساتید کی,1
223,ساعت کار بوفه زیاد کنید,4
224,می تونم ساعت کتابخانه استفاده کنم,3
225,حذف اظطراری نامه پزشک نیاز دارد,1
226,کتابخانه برای افراد متخطی چه قوانینی دارد,1
227,سنوات چگونه,1
228,فلش می توان سایت قرض گرفت,1
229,سقف تعداد کتابی که میتوانیم قرض بگیریم,3
230,چه کتاب هایی نمیتوانم امانت بگیرم,3
231,شرایط معدل الف شدن,1
232,تقلب در امتحانات باعث میشود,1
233,شرایط کارآموزی چیست,3
234,کلاس کجا,1
235,چند واحد در حذف و اضافه می شود حذف کرد,1
236,کی کتاب طراحی الگوریتم رو میارید,3
237,کارت دانشجویی بهتر غیر فیزیکی شود,2
238,فضای اختصاص یافته تشکل خیلی کمه,4
239,می تونم ساعت کتابخانه استفاده کنم,3
240,هوا بارونیه یا افتابی,5
241,مرا اتاق دکتر قوامی زاده راهنمایی کنید,2
242,کجا گواهی اشتغال تحصیل بگیرم,1
243,استخر دانشگاه کچاس,5
244,لطفا افزایش ظرفیت بدهید,4
245,چارت درسی کجا باید ببینم,1
246,چند کتابخانه در دانشکاه وجود دارد,3
247,استاد محمدی نمره رندوم میده,4
248,پارکینگ جای پارک دارد,2
249,ترم تابستان چقدر شهریه دارد,1
250,آشپز دانشگاه رو عوض کنید,4
251,دانشکده علوم کامپیوتر هم اینجاست,5
252,در صورت مفقود شدن یا ناقص شدن کتاب امانی چه باید کرد,1
253,انتخاب واخد کیه,1
254,انتخاب واحد رسما انتخابی نداره و اجباریه,1
255,چرا هنگام درس خوابمان می آید,4
256,کجا می توانم فوتبال دستی بازی کنم,2
257,حیات خلوت دانشکده کجاس,5
258,دانشگاه چه روزایی بازه,2
259,انجمن علمی دانشکده کجا,2
260,درس ارایه شده ترم تابستان,1
261,چجوری می تونم کارت کتابخونه رو بگیرم,3
262,مهلت حذف و اضافه کی,1
263,تاریخ اتمام ساخت برج آزادی,1
264,دانشکده زمین شناسی کجا,2
265,برای مهمان شدن باید چیکار کنیم,1
266,جشن دانشکده کجا برگزار می شود,2
267,فلان استاد رندوم نمره میدهد,4
268,کلاس رفع اشکال ریاضی اینجا برگزار میشه,4
269,چگونه سایت دانشکده استفاده کنیم,3
270,حذف ترم میشه کرد,1
271,کلاس کجا میشه,2
272,چگونه میتوان رئیس دانشگاه ملاقات کرد,2
273,کوارتوس دار سیستم,1
274,بخشش نمیخورد جریمه,3
275,کلید در آمفی تئاتر چه کسی بگیریم,2
276,صندلی جدید بسیارخوب ممنون,4
277,امکانات کتابخانه,3
278,میشه کلاس هایی که هفت صبح شروع میشن کمتر کنید,1
279,چرا بعضی آپشن مثل بازگشت عقب در امتحان وجود ندارد,4
280,شرط فوق لیسانس بدون آزمون,1
281,آزمایشگاه معماری در کجا قرار دارد,2
282,آیا کتاب هوش مصنوعی موجود دارید,3
283,دانشکده ادبیات کجا,5
284,معاون آموزشی کجا پیدا کنم,2
285,دانشگاه صبح ساعت چند باز,2
286,کیوسک میدونستی سوالای توی ساخت نقش داشتن,4
287,شهریه ترم تابستان چقدر,1
288,چرا اکثر دروس تک استادی هستند,4
289,دکتر قوامی زاده کجا پیدا کنم,2
290,چرا در داخل دانشگاه گیم نت وجود ندارد,5
291,شرایط دسترسی پایان نامه چگونه,3
292,ساعت کاری آموزش دانشکده چگونه,2
293,حداکثر چند کتاب می توانم قرض بگیرم,3
294,جشن بیشتر کنید,4
295,چند واحد می تونم بردارم,1
296,دانشکده چه ساعتی بازه,2
297,آی دی آموزش دانشکده رو می خواستم,2
298,هنوز حذف اضطراری رو تائید نکردن,1
299,جریمه دیرکرد تحویل چیست,3
300,اتاق معاونت دانشکده کجا,2
301,میشه کامپیوترها خودمون برنامه نصب کنیم,1
302,اگر کمتر واحد بهمون رسید کار کنیم,1
303,شرایط حذف اضطراری چیست,1
304,نوشتن تمرین هوش نمره اش نمی ارزه,4
305,فردا ابری,5
306,غذای روز سلف چیست,5
307,دانشکده الهیات کجا,5
308,برای تغییر استاد یک درس چگونه می توان اقدام کرد,1
309,اگر مشروط شوم، میشه,1
310,کجا می تونم خود پرداز پول بگیرم,2
311,کدام واکسن کرونا بهتر,5
312,چگونه کارت عضویت کتابخانه بگیرم,3
313,درس فیزیک چه کسی ارائه می دهد,1
314,چه اساتیدی ریکامندیشن میدن,1
315,چجوری تایم قرض گرفتن کتابو تمدید کنم,3
316,عینکم کجا,2
317,تاریخ یک امتحان قابل جابجایی می باشد,4
318,دستشویی کجا,2
319,اساتید یکم بروز تر شوند,4
320,چرا فرجه نمیدین,4
321,امروز ناهار سلف,5
322,بلیط هواپیما تهران مشهد گران شده,5
323,بازگشت عقب در امتحانات نبندید,4
324,مدت زمان نکهداشتن کتاب ماکسیمم چقدره,3
325,وقت غیر معقول برای امتحانات ندهید,4
326,کتابخونه کجا,3
327,آیا می توانم منابع کتابخانه در خارج کتابخانه استفاده نمایم,3
328,کی می تونیم سرویس داخلی دانشگاه استفاده کنیم,3
329,چطوری میشه خوابگاه گرفت,5
330,سالن داره دانشگاه,5
331,امتحان فلان استاد خیلی پرفشاره,4
332,دبیرخانه دانشکده کجا,2
333,آیا میتوان درخواست اضافه شدن یک درس اختیاری داد,1
334,عدد رنگی گراف چطور بدست می آید,1
335,معدل الف یعنی,1
336,سقف وام دانشجویی چقدر,5
337,امتحانات ترم بهار کی شروع میشود,1
338,کلاس درس ریاضی کجا,1
339,جریمه دیر دادن کتاب چند تومنه,3
340,اخرین مهلت انتخاب واحد,1
341,میشه حیاط خلوت دانشکده سیگار کشید,2
342,چگونه میتوانم سایت دانشکده استفاده کنم,2
343,آزمایشگاه دانشکده چیا,2
344,هر ماه چقدر اینترنت می تونم مصرف کنم,3
345,کلاس در دانشکده کامپیوتر کجا,2
346,می خوام برای ارائه شدن رمزنگاری درخواست بدم,1
347,کی می توانم سایت دانشکده استفاده کنم,3
348,اون دانشجویی که خودکشی کرد دانشکده کامپیوتر بوده,4
349,چرا بر خلاف اکثر دانشگاه فرجه امتحانی نداریم,4
350,سلف مواد غذایی کجا میگیرند,5
351,چرا لابی دانشکده رو اینکاری کردید,4
352,نزدیک ترین راه مترو,2
353,هوا چطوره,5
354,نزدیکترین دانشکده دانشکده کجا,2
355,ایا استفاده کامپیوتر سایت محدودیت زمانی دارد,3
356,چرا راه اعتراض مشکلات دانشکده نداریم,5
357,اتاق معاونت آموزشی کجا,2
358,در تدریس دروس علاوه بر بخش نظری بخش عملی نیز تدریس شود,1
359,مدیر آموزش کیست,4
360,سر امتحان حاضر نشدم باید چه کنم,1
361,اتاق مدیر گروه طبقه چندم,2
362,لابی نداریم لطفا فکری کنید,4
363,برای انتخاب واحد منع که ندارم,1
364,آیا کلاس عملی این هفته تشکیل می شود,1
365,می تونیم توی سایت یه کلاس برگزار کنم,3
366,توجه شرایط و حجم تمرین بهتر نمرات حل تمرین بیشتر ده نمره باشد,1
367,آزمایشگاه پردازش زبان طبیعی کجا,2
368,فرصت نظرسنجی اساتید کیه,1
369,چطور باید ثبت نام کنم,1
370,سرویس بهداشتی تمیز نیستن,2
371,تعداد دستشویی زیاد کنید,4
372,برخی اساتید همیشه کلاس دیر شروع میکنند و بی نظم هستند,4
373,استاد ایکس خیلی بد نمره میده,4
374,کتابخونه کتاب آموزش الگوریتم داره,3
375,پس اتمام دوره کارآموزی چه باید کرد,1
376,چقدر شروع فرجه مانده,1
377,آز فیزیک کجا,2
378,انقضای کارت عضویت کتابخانه چه مدت,3
379,برای کتابخونه عضویت نیازه,3
380,در سامانه گلستان استاد راهنما ندارم,1
381,قیمت زمین محله ولنجک چقدره,5
382,اکثر سرویس بهداشتی فاقد مایع دستشویی هستند,4
383,استاد وحیدی رو کجا می تونم پیدا کنم,2
384,بوفه ی دانشکده پنجشنبه هم باز,2
385,میخوام خوابگاه مهمان شم,5
386,دنبال کار هستم,4
387,اساتیدی که در صنعت هستند هم استخدام کنید,4
388,مدرسه تکمیلی پاس و رد,1
389,چطور می تونم در یک درس مهمان شم,1
390,چرا دکتر مجیدی انقدر بد درس میده,4
391,سقف تعداد واحد برای معدل الف چیست,1
392,کلاس کجا برگزار میشود,2
393,چطور می توانم انصراف تحصیل دهم,1
394,توی محوطه دانشگاه تصادف شده,2
395,برای انجام کارای کارآموزی کجا باید برم,1
396,دانشکده اتاق بازی داره,4
397,آیا برای اخذ درس حذف شده باید شهریه بپردازیم,1
398,کجا میتوانم بفهمم چه مدارکی ناقص,1
399,اگه مدارکمون تکمیل نباشه میشه,1
400,بهتر بعضی درس مانند الگوریتم و نظریه چند استاد ارائه شوند,4
401,برنامه زمانی اساتید,4
402,دانشگاه استخر دارد,3
403,کارت خوابگاه رو امور خوابگاه میده,1
404,امروز چه تاریخی هستیم,1
405,کلاس خیلی هوای سردی دارن,4
406,امتحانات در تایم بیرون کلاس میباشد,4
407,برای استفاده سایت باید اکانت ساخت,3
408,آبسرد کن درست نمیشن,4
409,دانشکده پنج شنبه,2
410,آسانسور خراب شده,4
411,ناهارخوری ای در دانشکده تعبیه کنید,4
412,حراست کجا,2
413,نسخه موجود کتاب سیستم عامل سیلبرشتز می خواهم,3
414,درسای بیشتر واسه اختیاریا ارائه بدید,4
415,ایا میتوان کمتر واحد اخذ کرد,1
416,لطفا جشن بیشتری برگزار کنید,4
417,آبسرد کن نصفشون خراب اند,4
418,دانشکده کامپیوتر چند کلاس دارد,2
419,اگر رمز گلستان فراموش کنم باید کار کنم,1
420,مسیر دانشگاه خیلی بده,5
421,چطوری باید دانشکده دیگر واجد برداریم,1
422,تعداد دروس عملی دانشگاه تقریبا,4
423,مزایای الف بودن معدل چیست,1
424,چگونه برای سلف غذا رزرو کنم,2
425,ازچه مسیری می شه زود تر دانشکده ی معماری رسید,5
426,دستگاه چایی ساز قرار دهید,4
427,هالیدی کتابش,3
428,کیفیت غذا سلف بهتر کنید,4
429,مدرسه تکمیلی هم واحد اختیاری,1
430,نحوه انتخاب افراد دانشگاه چگونه,1
431,سیستم سایت خیلی ضعیفه,3
432,پراکندگی نمره در درس ی الگوریتم و هوش مصنوعی مناسب نیست,1
433,چجوری میشه تاریخ امانت کتاب تمدید کرد,3
434,برای نظام وظیفه چه مدارکی لازم,1
435,کتاب غیر درسی هم دارید,3
436,ساعت دیواری بعضی کلاس عقب مانده,4
437,امروز چندم ماه,5
438,اتاق دکتر شمس فرد کجا,2
439,لپتاپم vga میخوره چه کنم,2
440,نحوه انجام حذف تک درس,1
441,تعداد واحد عملی که در ترم تابستان می توان اخذ کرد,1
442,آیا می تونم یک درسی رو دانشگاه دیگه مهمان بشم,1
443,حداقل تعداد واحد موردنیاز برای ثبت ترم چند واحد,1
444,آبشار نیاگارا کجا,2
445,مبانی برنامه نویسی کدوم کلاس برگزار میشه,2
446,قدیمی ترین چاپ کتاب در کتابخانه مربوط چه کتابی,3
447,کی برای انتخاب واحد مسئوله,1
448,استادا رو کنترل کنید امتحانا رو بهونه مجازی بودن بیش حد سخت کردن,4
449,بهتر کلاس صورت افلاین هم در اختیار دانشجویان قرار گیرد,4
450,آسانسور بصورت رندوم گیر میکند,4
451,چه درس هایی ترم تابستون ارائه میشه,1
452,هزینه یک برگه کپی چه قدر,5
453,محلی مثل لابی قدیم برای تعامل درسی بین دانشجویان ایجاد کنید,4
454,دانشکده امکانات رفاهی بیشتر کنید,4
455,نزدیکترین بوفه دانشکده کجا,2
456,آیا می توان تعداد کلاس افزایش داد,1
457,چگونه میتوانم دانشکده خارج شم,3
458,سایت سی دی هم دارد,3
459,چه سایتایی فیلترن,3
460,بار علمی دانشکده چطور,5
461,چه درس هایی در ترم بعد ارایه می شود,1
462,میشه پیش نیازی این درس رو برام همنیاز کنید,1
463,ظرفیت درس هوش مصنوعی زیاد میشه,4
464,راه استفاده سرور دانشگاه چیست,3
465,غذا دانشگاه هستند,5
466,کدام یک شاخه رشته ی کامپیوتر در آمد بالاتری دارد,5
467,فراهم کردن کرک نرم افزار پولی دنیا برای دانشجویان,4
468,درمانگاه کجا,2
469,برای در سامانه گلستان نقص مدارک ثبت شده، چه کار باید بکنم,1
470,درس ارائه شده این ترم رو میشه بگید,1
471,ماژیک می خوام که ببرم سر کلاس,3
472,بعضی اساتید جواب دانشجو صورت درست و منطقی نمی دهند,4
473,تاریخ نظرسنجی اساتید کی,1
474,چه معدلی مشروط حساب میشود,1
475,بهترین منبع یادگیری ماشین لرنینگ چیست,5
476,خطر بیماری کرونا در ایران چه قدر,3
477,شماره آموزش کل چند,2
478,فلان استاد جواب اعتراض نمیدهد,4
479,کدوم در دانشگاه کمتر گیر میدن,4
480,استاد دروس تخصصی یکم بهتر کنید,4
481,نحوه ی گرفتن کتاب کتابخانه,3
482,خسته نشدین اینهمه خوندین,4
483,رییس دانشکده شیمی کیست,2
484,دستگاه پس دریافت پول، خوراکی نمیدهد,1
485,ساعت کاری آموزش,2
486,کجا می تونم مشاور صحبت کنم,1
487,در محوطه دانشگاه تعداد صندلی برای نشستن افزایش یابد,5
488,ایا در سایت کامپیوتر,3
489,چجوری می تونیم استادیار شویم,1
490,بوفه دانشکده کجا,2
491,آخرین ساعتی که می شه دانشکده کیه,2
492,چگون می توانم مهلت یک کتا ب تمدید کنم,3
493,آموزش دانشکده امار کجا,2
494,بن دانشجویی داده می,5
495,چطوری می تونم یک کتابو امانت بگیرم,3
496,آیا کتاب داستان هم دارید,3
497,چرا بوفه ی کامپیوتر باز نمیشه,4
498,بخش نشریات ادواری کتابخانه کجا مجلات,3
499,آیا امکلن برداشتن همزمان درس برنامه نویسی پیشزفته و ساختمان داده وجود دارد,1
500,میز پینگ پونگ بیارید,2
501,تعداد آبخوری افزایش دهید,4
502,تی ای این ترم درس سیگنال چه کسیه,1
503,مبلغ وام دانشجویی چقدره,5
504,کجا باید توپ فوتبال دستی بگیرم,2
505,آبنماهایی در دانشکده قرار دهید,4
506,چرا فیلم ضبط شده ی کلاس نمی توانیم دانلود کنیم,4
507,حداکثر واحد قابل اخذ چقدر,1
508,سلف کجاعه,2
509,پروژکتور اتاق خیلی گرم می شه,2
510,چطور کتابی رزوز کنم,1
511,مراحل دریافت اکانت روی سرور دانشکده چیست,3
512,دستگاه فروش خودکار بیشتری در لابی و طبقه همکف قرار دهید,4
513,دوشنبه دلیل شهادت تعطیل,4
514,عرض تاسف استادان اوضاع دانشجو رو در پروژه در نظر ندارن,4
515,کانفیگ سیستم چیست,5
516,برای استفاده کتابخانه کارت دانشجویی لازم دارم,3
517,کارت ورود جلسه برای امتحانات کجا بگیرم,1
518,گوشیم کجا,2
519,برا گرفتن کتاب کتابخونه باید جایی ثبت نام کنم,1
520,چگونه میتوانم اکانت بسازم,3
521,کلاس کجا,1
522,برخی دروس منحصرا توسط یک استاد ارائه میشوند,1
523,لابی رسیدگی نمیکنید,4
524,مایکرویو دانشکده کجا,2
525,آزمایشگاه ریزپردازنده کجا,2
526,میشه اسم کتاب سرچ کرد,3
527,تعطیلی سال جدید,1
528,امبدد رو فقط یه استاد ارائه میده,4
529,لطفا تعداد غیبت,4
530,روی کامپیوتر سایت اوبونتو نصبه,3
531,کی می تونم حذف کنم,1
532,کیفیت غذا سلف بیشتر کنید,4
533,کتاب هوش مصنوعی,3
534,دکتر ابراهیمی مقدم چند سال سابقه تدریس دارند,2
535,معدل الف چه مزایایی در دانشکده دارد,2
536,آخرین چاپ کتاب ساختمان داده برای چه سالی,3
537,دانشکده ادبیات کجا,5
538,درسهای کارگاهی سنگین هستن,4
539,اگر یک درس بیفتیم، درس همنیازش هم افتاده حساب میشه,1
540,چرا لابی رو تبدیل دوتا کلاس کردید,4
541,جریمه دیرکرد کتاب کتابخوانه چقدر,3
542,آیا می توانم استامینوفن بدون نسخه تهیه کنم,1
543,حداکثر واحد انتخابی برای هر ترم چقدر,1
544,مایع ضد عفونی قرار نمیدهید,4
545,آیا دکتر شاملی الان در اتاقشان حضور دارند,2
546,دانشگاه کی حضوری میشه,2
547,چند نمونه کاربرد هوش مصنوعی,3
548,میخوام برم کلاس,2
549,کتاب CLRS رو دارید,3
550,لابی دانشکده کجا,2
551,دمای هوا چند درجه,5
552,مسیولان آموزش تمام بدبختیاشون رو سر خالی میکنن,2
553,قیمت گوشی جدید اپل چه قدر,5
554,آیا امکان تشکیل گروه درسی دیگری برای درس ریاضی وجود دارد,1
555,اینایی که رتبه میارن میدن,4
556,معدل الف چند واحد میتواند اخذ کند,1
557,کلاس کارگاهی چه تاریخی تشکیل می شوند,1
558,آخرین چاپ کتاب الگوریتم دارید,3
559,درس برنامه نویسی پیشرفته این ترم چه کسی ارائه میده,1
560,چگونه غیبت دلیل بیماری گزارش دهیم,1
561,نرم افزار فتوشاپ روی سیستمی سایت نصب,3
562,لطفا بوفه ای برای دانشکده صورت اختصاصی در نظر بگیرید,4
563,جشن یلدا کی و کجا برگزار می شود,2
564,جایزه,1
565,حد نصاب نمره قبولی در هر درس چه قدر میباشد,1
566,آیا برای ورود دانشکده در روز جمعه مجاز,5
